,features,weights,topic
0,growth,40795.88664674473,1
1,percent,35044.807210901185,1
2,inflation,33069.60717262414,1
3,year,26881.217690625497,1
4,rate,24589.87647270448,1
5,prices,24445.73441837227,1
6,forecast,23995.186983790878,1
7,unemployment,17634.140013836975,1
8,labor,16653.251556842944,1
9,economy,16439.226233002617,1
10,president,26634.97962679863,2
11,market,14923.294577694127,2
12,governor,12164.645696140544,2
13,purchases,10334.819049748929,2
14,chairman,10202.373902046085,2
15,billion,8599.199514280837,2
16,asset,8598.898232058067,2
17,meeting,8498.237496707077,2
18,december,8143.709225308488,2
19,bank,7998.464756441195,2
20,policy,46835.9080690738,3
21,inflation,28147.676493974144,3
22,rates,20285.88634859505,3
23,going,15350.35405971339,3
24,monetary,14037.612823034886,3
25,right,11632.83320721617,3
26,time,11608.858720634751,3
27,economy,11068.647359129376,3
28,way,10757.318895890625,3
29,expectations,10711.417263515623,3
30,rate,26481.519177812534,4
31,funds,20915.979995920054,4
32,committee,14499.829192699797,4
33,alternative,14256.084114187845,4
34,percent,12287.166825981476,4
35,statement,11937.471578879087,4
36,want,11731.617973908466,4
37,chairman,9757.731892662292,4
38,point,9739.132749661467,4
39,language,8954.660943458564,4
40,market,21782.886365005907,5
41,going,19396.737945899604,5
42,financial,15655.32772017493,5
43,people,12563.575456760247,5
44,lot,11680.993290904637,5
45,little,11008.745590159262,5
46,credit,10839.69590246427,5
47,number,10364.756816285986,5
48,markets,10343.912387490169,5
49,greenbook,9908.322513586381,5
