year,chair_in_charge,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
1976,CHAIRMAN BURNS,0.04313278397235263,0.02850421394105373,0.018863906820552948,0.03263359089723526,0.060032358502869074,0.030390095200834636,0.03971863588941053,0.04920305979394888,0.01285170513823683,0.03276807837767345,0.03214454551382368,0.025701372587376113,0.0396452790818988,0.029118577203964525,0.040687557055294726,0.040247416210224304,0.028109921100678142,0.021223550795513826,0.03880167579551382,0.019129825247782995,0.02844002673448096,0.03411295318205529,0.03044816934011476,0.05500741718831508,0.03196421002869066,0.019371291405842463,0.023396746218049033,0.05029118577203964,0.028103808033385497,0.03595604297078769
1977,CHAIRMAN BURNS,0.020076543689127115,0.04005541703370809,0.03080504003862022,0.03632652502600395,0.037735590824710966,0.04428261442982914,0.032283159393025465,0.02659650576566085,0.037653473082799566,0.02174502689978152,0.03778504810108943,0.03725501540329765,0.03134253798567667,0.031894966431262474,0.026175652338364913,0.029348383275850914,0.03278799687454897,0.03612682960817395,0.03517687663924431,0.04020098939436921,0.03272360909964117,0.028192202795984694,0.0358478159169068,0.03643290482802554,0.041903066226714636,0.02948742354340545,0.041472881237837864,0.027635108569608473,0.024230954904917612,0.03641984064181236
1978,CHAIRMAN BURNS,0.021504343967091676,0.02894200078515712,0.018246368648334954,0.019616126444433068,0.03438262754535989,0.026944970727294452,0.022842098076365062,0.028461945482786286,0.01101993616331268,0.029262037653404342,0.02129952037141345,0.02250925973338795,0.027297011282366397,0.042338744089985836,0.042754792018707216,0.05873743321897349,0.048195418778909996,0.03130387287282162,0.0489315035758786,0.04000887568914606,0.06193780190144571,0.048035400344786386,0.031700718589448174,0.04413735128953522,0.03072140577261167,0.042319541877891,0.03241760117432195,0.03682770921876867,0.024602300851724785,0.022701281854336286
1978,CHAIRMAN MILLER,0.02836824442535866,0.03434925406368293,0.039415338613735404,0.019436094411044314,0.03406177434233546,0.027175382511053857,0.03075277539205395,0.03512103572223813,0.03124184877691892,0.027634634348061203,0.02321746667939053,0.033602522505328115,0.036576327257689986,0.043572462385087635,0.02721593981614022,0.03778350351496644,0.03964436810128193,0.044214222094983616,0.045222190412571174,0.031790565257499126,0.04025511340140599,0.037408944873874736,0.03996166937048701,0.0275093838470592,0.03525344339472596,0.0394642459522219,0.02156296720424977,0.030825539968826542,0.028662881318191943,0.028699860037535385
1979,CHAIRMAN MILLER,0.023052593742231536,0.029767063740014376,0.027340784337438438,0.02327179032377267,0.04964088713307668,0.040296058156800305,0.031828015506688435,0.020119894651267477,0.03138962234360618,0.031094840733947415,0.032470488245688295,0.029625971687528136,0.032117758114472685,0.029767063740014376,0.03330696255685674,0.017005791492821103,0.04735066078111248,0.01826806146238553,0.027297952821505114,0.02910191549257923,0.036426104717177624,0.04364195540147408,0.03547121386195822,0.04934106652154342,0.03040197797620247,0.04349330484617607,0.042876027116548754,0.046690551535551836,0.025473834142932965,0.04206978681662737
1979,CHAIRMAN VOLCKER,0.06885617158408741,0.00730121535453572,0.05189696505241646,0.019997592870968063,0.03520303396508189,0.023217742014717872,0.026570528880635876,0.024124099782867135,0.03254291075937552,0.03247290751712009,0.022712981794244507,0.041094359458052086,0.05214381859089614,0.02646368182666706,0.03812474823395329,0.03580727247718139,0.030943889331014628,0.03067492950550692,0.046941472376966234,0.023821980526817384,0.03277502677316984,0.053643361727630894,0.023696711566991876,0.05839989781982885,0.03194972539079003,0.03091809866281526,0.032874505064795986,0.023766714809247306,0.017396419764003107,0.02366723651762117
1980,CHAIRMAN VOLCKER,0.033864173338844575,0.030845427453141665,0.03843199991835193,0.0430658466139016,0.035102289717956967,0.026035527114812492,0.028842817266524805,0.026944499726989278,0.025438475630603738,0.043693516122941575,0.025147604394707167,0.03474061429963819,0.03395124334695836,0.02807353939264045,0.038631017079754845,0.029503018426947945,0.027243025469093657,0.040691036062930244,0.03865398059837826,0.02906958201293101,0.02444721707669305,0.03431770283165699,0.02411520286992953,0.026204883064660164,0.04401022131728949,0.03810764021779621,0.04593341600200038,0.03478941177671295,0.04041643065272526,0.029688640202487203
1981,CHAIRMAN VOLCKER,0.03659570407728777,0.03775644377375807,0.03839348551736614,0.03909754074309402,0.02929371650704772,0.022810782607160903,0.03650718009473445,0.026894468381770564,0.03045031956881926,0.03493774089002729,0.0444205622734503,0.025074349114318932,0.026951553940613368,0.03052643364727633,0.029634575206225026,0.029754537612488884,0.02544499158332727,0.027471942585716582,0.029699934034465338,0.0455846112776796,0.042159477747111526,0.027004502864757415,0.044520668833160144,0.03819409972488621,0.03806420939534534,0.034169981489938606,0.02593145982390071,0.035055221315471896,0.03564924205821293,0.03195026331058736
1982,CHAIRMAN VOLCKER,0.03212769254014961,0.030139739344442824,0.042254729471902314,0.021440763476465965,0.028360185106933312,0.0355206580669284,0.03668365870461,0.034300995961349834,0.02877506229560256,0.032211244196201055,0.038623593707183775,0.0268879473054751,0.023852237135605938,0.034459455998688784,0.03448730655070593,0.02884804994916474,0.03311494659096438,0.033177370242037305,0.031203822504270416,0.03361721689113571,0.037904281174051216,0.047239978282971856,0.033151440417745474,0.03499149757860258,0.03267413957800331,0.023035927852344696,0.038700422816196595,0.03669902452641256,0.03684307910581161,0.038673532628042115
1983,CHAIRMAN VOLCKER,0.029821753638933243,0.03207930188867258,0.025963779581142925,0.03252862416849555,0.03612684802395413,0.03615145593785925,0.01976440808549215,0.0277610687004348,0.04124985113731094,0.03210208699414028,0.02682141095094701,0.03145134438198287,0.03947716993192418,0.036392066651598116,0.04232713092382362,0.02542422828366788,0.03152790233635433,0.03356397936094767,0.05536932529353292,0.032659866375989485,0.02830791123165951,0.03754772720091967,0.03255596629505678,0.039860871108000184,0.03754681579670095,0.02782395559152564,0.03162268837509995,0.03887382033913958,0.028221327830882267,0.02907531358381152
1984,CHAIRMAN VOLCKER,0.02785256979257368,0.023250571331152273,0.035610979139015925,0.03290895616178182,0.035812811907358404,0.032123816125768936,0.029357333468592994,0.032315081733465215,0.03771912768793343,0.04107631462523212,0.029604605027714143,0.03621436401191412,0.03499385695727767,0.03581598205555227,0.04127603396144536,0.040110476142169164,0.03316573816548456,0.03210796538479963,0.019810960540813195,0.034002657288663835,0.02988463478483852,0.02505544236952375,0.04242468432368763,0.0216697240984803,0.03230557128888363,0.03911293617716761,0.03228232353546198,0.035269659850143575,0.04038627903503507,0.036478543028069195
1985,CHAIRMAN VOLCKER,0.038381284165173876,0.030594841038126437,0.03983737624660616,0.026237698887910187,0.02170241123240401,0.04348688486192074,0.026402236055990475,0.03939324960494585,0.02906328454125883,0.02857957000953408,0.035769720542486054,0.02838534192390548,0.03334496227603976,0.019579510627698988,0.02978328929180564,0.03814499394635181,0.03784189916304602,0.018076407926815186,0.03649962226554897,0.028848025389033492,0.02946040056346764,0.035313222685180605,0.03902211313559183,0.03291073260689555,0.048302999112571465,0.040773877270942824,0.032533410529718955,0.04320605826677619,0.03790994084909426,0.030614634983158653
1986,CHAIRMAN VOLCKER,0.03552677316342746,0.03831142662877399,0.02409021284072852,0.031066170853196434,0.043290570376482096,0.033229147567534534,0.04543922274171862,0.015908144633907835,0.02764408385282973,0.03319190425987043,0.028825842653709816,0.035694368047915905,0.03731731680112456,0.03041298053416453,0.032865309100354484,0.0441500313225767,0.050147636291406915,0.04174927041315243,0.035996611813959176,0.036327504278205594,0.030498926628773994,0.03163055020779856,0.024375267387849897,0.03685320789023347,0.03689904580735852,0.019022258128590635,0.02803513858330278,0.029782709173695146,0.03223790260970542,0.029480465407651882
1987,CHAIRMAN GREENSPAN,0.03586024601308444,0.012478605819217174,0.030062822912167886,0.034348657165251054,0.01999756066349953,0.05363641089623623,0.03139446070668778,0.0479709519010829,0.01828202728857751,0.05009737351440408,0.02853623814322504,0.019079810291600684,0.028776172880976374,0.023938488731065147,0.029558959962890093,0.040020114528848155,0.03677799638498328,0.029669929779100084,0.025537053921333396,0.05252971191835821,0.032720100132763885,0.02619987363437145,0.045274685285602315,0.054497176767919125,0.03207827470927908,0.04379008909576595,0.020522417902330566,0.0447408304941056,0.024454348417230515,0.02716861013804245
1987,CHAIRMAN VOLCKER,0.04186592128600615,0.03960957320221818,0.024465520531644996,0.048228738690195554,0.039931607956714035,0.024987511506252665,0.03392660694640893,0.023962472777890032,0.03155028513055387,0.03759738218719831,0.046824835544778974,0.03682491973687165,0.024602332682247815,0.03116931591118295,0.018683628566938323,0.028788784490693962,0.028614085898385756,0.02935287151164096,0.05788978132507129,0.03875502346152983,0.029639124626748385,0.045547220538380374,0.01566534204440852,0.025972558990592937,0.024583389461395117,0.018898318403268898,0.049133803686491104,0.05562290922969849,0.023505730675108326,0.023800402999483623
1988,CHAIRMAN GREENSPAN,0.03575405979155698,0.03657207749333467,0.02529534304507351,0.03172195338030406,0.03714563013481099,0.019564517881469966,0.04681923793763425,0.028637932619578935,0.035620857675367115,0.04523648338055479,0.02008478967647034,0.03159815376643349,0.04771090857424634,0.019975093816078697,0.03561772350792736,0.03424652525303179,0.02539720348686575,0.034668070773679685,0.02131181622913689,0.03596718317746074,0.027117861411294703,0.043426501684092636,0.04083297812769016,0.03672251753044321,0.02535175805898921,0.039527597389029584,0.03505043920133056,0.03498305460137569,0.04228409765229965,0.0257576327424383
1989,CHAIRMAN GREENSPAN,0.03721379638788145,0.03314192035754845,0.04561581858812323,0.045663900794959154,0.0473605158075979,0.030333919478330956,0.03591420302597355,0.049599772868813424,0.01796442832545701,0.032922115983441406,0.0322970472945745,0.03601586254899806,0.03012510532292926,0.031279078286991245,0.031088123236985753,0.028527402278638682,0.0326693409532183,0.03715472396234018,0.026113675495475695,0.027400904861340076,0.027951789573945857,0.022610543283144668,0.031081254350294907,0.03178188079276111,0.035131149943217206,0.04432996299959703,0.030530369637689125,0.03586474704179947,0.0267167637469319,0.025599882771000476
1990,CHAIRMAN GREENSPAN,0.036422355053054016,0.031000061089651414,0.021112348568152552,0.01946997678593246,0.029017584421199047,0.027318822191520757,0.038914107950113255,0.03897226059905452,0.01607245232657588,0.04251604778150581,0.03282746402759373,0.021205745246755198,0.03655980676873338,0.026104665369686378,0.04207549741073862,0.04422362101859945,0.033757906410654036,0.032949055929925475,0.030786834710200092,0.0265998439864287,0.023982974784071583,0.022897458670501216,0.0371342844522138,0.030080191915489517,0.03599061568970217,0.03751844437552279,0.04395400419168993,0.04187108203870264,0.06195136793827125,0.03671311829776037
