currenc,0
thank,1
float,2
appendix,3
name,4
busi,5
lemmat,6
length,7
item,8
european,9
separ,10
ty,11
bring,12
need,13
realign,14
sec,15
altern,16
opin,17
act,18
rrp,19
readi,20
discuss,21
everybodi,22
object,23
true,24
instanc,25
chang,26
rate,27
laughter,28
think,29
ye,30
alan,31
meet,32
start,33
dtype,34
ask,35
mean,36
question,37
morn,38
overnight,39
comm,40
statementse,41
